SAMPLE_NAME,Frequency
Grenchen_2021-06-11_soil_1A_ref,1753693.0
Grenchen_2021-07-21_soil_1A,1312631.0
Grenchen_2021-07-21_soil_1C,1126855.0
Grenchen_2022-03-08_1A,816945.0
Erlenbach_2022-10-20_3,797092.0
Grenchen_2021-06-11_soil_1A,789138.0
Grenchen_2021-06-11_soil_1B,778703.0
Grenchen_2021-06-11_soil_2B,733486.0
Grenchen_2022-03-08_2C,725904.0
Grenchen_2022-03-08_2A,719101.0
Grenchen_2021-06-11_soil_2D_ref,715555.0
Grenchen_2023-06-20_2B,705262.0
Grenchen_2022-03-08_1C,676422.0
Grenchen_2021-06-11_soil_2B_ref,646698.0
Grenchen_2022-07-02_1C,618819.0
Grenchen_2021-07-21_soil_2A,614877.0
Lavaux_2022-08-10_soil_Plot17,521381.0
Lavaux_2021-08-31_soil_Plot12,501410.0
Grenchen_2022-10-20_2B,485642.0
Grenchen_2023-08-23_1B,476019.0
Weinmanufaktur_05-09-2023_soil,473981.0
Grenchen_2021-06-11_soil_2C_ref,464285.0
Lavaux_2022-08-10_soil_Plot5,446345.0
Grenchen_2022-03-08_1B,439025.0
Grenchen_2023-08-23_2C,423887.0
Grenchen_2021-07-21_soil_1B,423752.0
Diederik_05-09-2023_soil,394716.0
Erlenbach_2023-08-23_6,360275.0
Grenchen_2023-08-23_2B,314741.0
Fluntern_2023-06-20_1C,305767.0
Fluntern_2023-08-23_1B,290813.0
Grenchen_2022-07-02_1A,290018.0
Grenchen_2023-06-20_2A,283946.0
Erlenbach_2023-08-23_2,283508.0
Grenchen_2021-06-11_soil_1C,268446.0
DNA38_PosCtrl,241775.0
Lavaux_2021-08-31_bark_Plot15,239028.0
Fluntern_2023-08-23_1C,231632.0
Grenchen_2023-08-23_1A,207021.0
Wine_by_Jet_05-09-2023_soil,206954.0
Grenchen_2021-06-11_soil_1B_ref,188922.0
Lavaux_2022-08-10_soil_Plot11,186317.0
Grenchen_2023-06-20_1A,171783.0
Grenchen_2021-07-21_soil_2C,171773.0
Erlenbach_2023-08-23_1,165381.0
Lavaux_2022-03-08_soil_Plot17,164877.0
Erlenbach_2023-06-20_1,161209.0
DNA28_PosCtrl,148295.0
Grenchen_2023-06-20_1B,145157.0
Lavaux_2021-08-31_bark_Plot19,139782.0
Lavaux_2022-03-08_soil_Plot4,138494.0
Lavaux_2021-08-31_bark_Plot20,135323.0
Lavaux_2022-03-08_soil_Plot15,134967.0
Lavaux_2022-08-10_soil_Plot14,124404.0
Grenchen_2021-10-13_soil_1B,110665.0
Lavaux_2022-08-10_soil_Plot4,110016.0
Grenchen_2021-06-11_soil_1C_ref,108085.0
Lavaux_2021-08-31_soil_Plot11,107470.0
Lavaux_2022-08-10_soil_Plot15,102920.0
Lavaux_2022-08-10_soil_Plot13,101713.0
Lavaux_2023-08-24_soil_Plot19,100918.0
Grenchen_2021-07-21_soil_2B,98485.0
Lavaux_2021-08-31_bark_Plot4,95458.0
Lavaux_2022-08-10_bark_Plot12,83675.0
Erlenbach_2023-06-20_3,82319.0
