id	SAMPLE_NAME	plot	row	vine	Lat	Long
364527_027-LP3-16S-0027	Lavaux_2021-09-30_must_Plot4_Row6/Vine10_ID1	4	6	10	46.498412	6.708026
364527_048-LP3-16S-0048	Lavaux_2021-09-30_must_Plot4_Row6/Vine30_ID2	4	6	30	46.498521	6.708104
364527_166-LP3-16S-0166	Lavaux_2021-09-30_must_Plot4_Row7/Vine20_ID3	4	7	20	46.498458	6.708079
364527_019-LP3-16S-0019	Lavaux_2021-09-30_must_Plot4_Row8/Vine10_ID4	4	8	10	46.498383	6.708045
364527_075-LP3-16S-0075	Lavaux_2021-09-30_must_Plot4_Row8/Vine30_ID5	4	8	30	46.498503	6.708129
364527_001-LP3-16S-0001	Lavaux_2021-09-30_must_Plot4_Row9/Vine20_ID6	4	9	20	46.498438	6.708104
364527_017-LP3-16S-0017	Lavaux_2021-09-30_must_Plot4_Row10/Vine10_ID7	4	10	10	46.49838	6.708084
364528_326-LP3-16S-0902	Lavaux_2021-09-30_must_Plot4_Row10/Vine30_ID8	4	10	30	46.498487	6.708157
364527_026-LP3-16S-0026	Lavaux_2021-09-30_must_Plot4_Row11/Vine20_ID9	4	11	20	46.498434	6.708141
364527_172-LP3-16S-0172	Lavaux_2021-09-30_must_Plot4_Row12/Vine10_ID10	4	12	10	46.498368	6.708117
364527_247-LP3-16S-0247	Lavaux_2021-09-30_must_Plot4_Row12/Vine30_ID11	4	12	30	46.498478	6.708195
364527_165-LP3-16S-0165	Lavaux_2021-09-30_must_Plot4_Row13/Vine20_ID12	4	13	20	46.498422	6.708171
364527_068-LP3-16S-0068	Lavaux_2021-09-30_must_Plot4_Row14/Vine10_ID13	4	14	10	46.498374	6.708161
364527_144-LP3-16S-0144	Lavaux_2021-09-30_must_Plot4_Row14/Vine30_ID14	4	14	30	46.498486	6.708237
364527_174-LP3-16S-0174	Lavaux_2021-09-30_must_Plot4_Row15/Vine20_ID15	4	15	20	46.498422	6.708214
364527_057-LP3-16S-0057	Lavaux_2021-09-30_must_Plot4_Row16/Vine10_ID16	4	16	10	46.498365	6.708196
364527_034-LP3-16S-0034	Lavaux_2021-09-30_must_Plot4_Row16/Vine30_ID17	4	16	30	46.498459	6.708263
364527_155-LP3-16S-0155	Lavaux_2021-09-30_must_Plot4_Row17/Vine20_ID18	4	17	20	46.498404	6.708244
364527_139-LP3-16S-0139	Lavaux_2021-09-30_must_Plot4_Row18/Vine10_ID19	4	18	10	46.498358	6.70823
364528_332-LP3-16S-0908	Lavaux_2021-09-30_must_Plot4_Row18/Vine30_ID20	4	18	30	46.498463	6.708325
364527_210-LP3-16S-0210	Lavaux_2021-09-30_must_Plot4_Row19/Vine20_ID21	4	19	20	46.498405	6.708304
364527_159-LP3-16S-0159	Lavaux_2021-09-30_must_Plot4_Row20/Vine10_ID22	4	20	10	46.498355	6.708289
364527_018-LP3-16S-0018	Lavaux_2021-09-30_must_Plot4_Row20/Vine30_ID23	4	20	30	46.498448	6.708355
364527_058-LP3-16S-0058	Lavaux_2021-09-30_must_Plot4_Row21/Vine20_ID24	4	21	20	46.498402	6.708343
364527_067-LP3-16S-0067	Lavaux_2021-09-30_must_Plot5_Row2/Vine10_ID25	5	2	10	46.495539	6.709088
364527_008-LP3-16S-0008	Lavaux_2021-09-30_must_Plot5_Row2/Vine30_ID26	5	2	30	46.495657	6.708924
364527_153-LP3-16S-0153	Lavaux_2021-09-30_must_Plot5_Row2/Vine50_ID27	5	2	50	46.495747	6.708788
364527_131-LP3-16S-0131	Lavaux_2021-09-30_must_Plot5_Row3/Vine20_ID28	5	3	20	46.495607	6.709018
