Name	SAMPLE_NAME	CTRL	Project	DNA_extraction_plate	Plate	Bacterial conc. (ng/uL)
364528_534-LP3-16S-1110	DNA49_NegCtrl	NegCtrl	SoilColonialization	DNA49	P12	2.4
364528_413-LP3-16S-0989	DNA24_posCtrl_2	PosCtrl	BotrytizedWine	DNA41	P11	6.1
364528_292-LP3-16S-0868	Grenchen_2023-06-20_1A	Sample	SoilColonialization	DNA42	P10	4.2
364528_535-LP3-16S-1111	Grenchen_2023-10-10_1C_grapes	Sample	SoilColonialization	DNA49	P12	2.7
364528_414-LP3-16S-0990	22DL05M_5654_wine	Sample	BotrytizedWine	DNA41	P11	5.0
364528_293-LP3-16S-0869	Grenchen_2023-06-20_2B	Sample	SoilColonialization	DNA42	P10	3.9
364528_536-LP3-16S-1112	Grenchen_2023-10-10_1A_grapes	Sample	SoilColonialization	DNA49	P12	3.2
364528_415-LP3-16S-0991	22DL05M_89_wine	Sample	BotrytizedWine	DNA41	P11	2.4
364528_294-LP3-16S-0870	DO NOT USE (DUPLICATE)	Sample	NOT-USE	DNA42	P10	3.0
364528_416-LP3-16S-0992	22DL05M_8075_wine	Sample	BotrytizedWine	DNA41	P11	3.5
364528_295-LP3-16S-0871	DO NOT USE (DUPLICATE)	Sample	NOT-USE	DNA42	P10	4.0
364528_530-LP3-16S-1106	Champlan_1_30-08-2023_berries	Sample	WINE	DNA49	P12	4.9
364528_409-LP3-16S-0985	21DL05S_2751_lees	Sample	BotrytizedWine	DNA41	P11	3.9
364528_288-LP3-16S-0864	P09_PCR-_PCR1_20240918	NegCtrl	Lavaux		P9	7.1
364528_531-LP3-16S-1107	Weinmanufaktur_14-09-2023_berries	Sample	WINE	DNA49	P12	3.4
364528_410-LP3-16S-0986	21DL07S_BL30_lees	Sample	BotrytizedWine	DNA41	P11	1.6
364528_289-LP3-16S-0865	Lavaux_2021-08-31_bark_Plot5	Sample	Lavaux	DNA42	P10	3.5
364528_532-LP3-16S-1108	Diederik_14-09-2023_berries	Sample	WINE	DNA49	P12	4.0
364528_411-LP3-16S-0987	21DL06S_1094_lees	Sample	BotrytizedWine	DNA41	P11	1.9
364528_290-LP3-16S-0866	Lavaux_2021-08-31_bark_Plot4	Sample	Lavaux	DNA42	P10	4.3
364528_533-LP3-16S-1109	Grenchen_2023-10-10_1B_grapes	Sample	SoilColonialization	DNA49	P12	4.7
364528_412-LP3-16S-0988	DNA41_negCtrl_3	NegCtrl	BotrytizedWine	DNA41	P11	1.7
364528_291-LP3-16S-0867	Grenchen_2023-06-20_2A	Sample	SoilColonialization	DNA42	P10	3.8
364528_296-LP3-16S-0872	Fluntern_2023-06-20_1C	Sample	SoilColonialization	DNA42	P10	5.5
364528_537-LP3-16S-1113	Grenchen_2023-08-23_2C_grapes	Sample	SoilColonialization	DNA49	P12	3.2
364528_538-LP3-16S-1114	Grenchen_2023-08-23_1A_grapes	Sample	SoilColonialization	DNA49	P12	2.6
364528_417-LP3-16S-0993	19DMB_D2_wine	Sample	BotrytizedWine	DNA41	P11	1.8
364528_539-LP3-16S-1115	Grenchen_2023-08-23_1B_grapes	Sample	SoilColonialization	DNA49	P12	2.1
364528_418-LP3-16S-0994	19DMB_C13_wine	Sample	BotrytizedWine	DNA41	P11	1.4
364528_297-LP3-16S-0873	Grenchen_2023-06-20_1B	Sample	SoilColonialization	DNA42	P10	9.4
364528_540-LP3-16S-1116	Grenchen_2023-08-23_1C_grapes	Sample	SoilColonialization	DNA49	P12	10.6
364528_419-LP3-16S-0995	21DL01S_5295_wine	Sample	BotrytizedWine	DNA41	P11	1.2
364528_298-LP3-16S-0874	Erlenbach_2023-06-20_1	Sample	SoilColonialization	DNA42	P10	6.2
364528_177-LP3-16S-0753	MV_Post-AF_Plot20_Rep2_2021-10-16	Sample	Lavaux	DNA23	P8	7.0
364528_523-LP3-16S-1099	Baur_Wein_14-09-2023_berries	Sample	WINE	DNA49	P12	2.9
364528_402-LP3-16S-0978	21DL09_1893_lees	Sample	BotrytizedWine	DNA41	P11	2.3
364528_281-LP3-16S-0857	Lavaux_2022-08-10_bark_Plot13	Sample	Lavaux	DNA16	P9	4.5
