SAMPLE_NAME,Frequency
Grenchen_2021-06-11_soil_1A_ref,1584272.0
Grenchen_2021-07-21_soil_1A,1156457.0
Grenchen_2021-07-21_soil_1C,1009814.0
Grenchen_2022-03-08_1A,735721.0
Erlenbach_2022-10-20_3,722455.0
Grenchen_2021-06-11_soil_1B,706965.0
Grenchen_2021-06-11_soil_1A,689596.0
Grenchen_2021-06-11_soil_2B,659883.0
Grenchen_2022-03-08_2A,647949.0
Grenchen_2022-03-08_2C,643400.0
Grenchen_2021-06-11_soil_2D_ref,641197.0
Grenchen_2023-06-20_2B,637948.0
Grenchen_2022-03-08_1C,598942.0
Grenchen_2021-06-11_soil_2B_ref,576759.0
Grenchen_2021-07-21_soil_2A,561182.0
Grenchen_2022-07-02_1C,537895.0
Lavaux_2021-08-31_soil_Plot12,454637.0
Lavaux_2022-08-10_soil_Plot17,454589.0
Grenchen_2022-10-20_2B,442271.0
Weinmanufaktur_05-09-2023_soil,425717.0
Grenchen_2023-08-23_1B,416004.0
Grenchen_2021-06-11_soil_2C_ref,407208.0
Lavaux_2022-08-10_soil_Plot5,405978.0
Grenchen_2021-07-21_soil_1B,386346.0
Grenchen_2022-03-08_1B,382632.0
Grenchen_2023-08-23_2C,379164.0
Diederik_05-09-2023_soil,354012.0
Erlenbach_2023-08-23_6,327560.0
Grenchen_2023-08-23_2B,284001.0
Fluntern_2023-06-20_1C,274315.0
Fluntern_2023-08-23_1B,260085.0
Grenchen_2022-07-02_1A,257633.0
Grenchen_2023-06-20_2A,254630.0
Erlenbach_2023-08-23_2,253347.0
Grenchen_2021-06-11_soil_1C,235920.0
DNA38_PosCtrl,218831.0
Lavaux_2021-08-31_bark_Plot15,210019.0
Fluntern_2023-08-23_1C,201647.0
Wine_by_Jet_05-09-2023_soil,184716.0
Grenchen_2023-08-23_1A,183084.0
Lavaux_2022-08-10_soil_Plot11,167658.0
Grenchen_2021-06-11_soil_1B_ref,164955.0
Grenchen_2021-07-21_soil_2C,158361.0
Grenchen_2023-06-20_1A,155062.0
Erlenbach_2023-08-23_1,146354.0
Lavaux_2022-03-08_soil_Plot17,144992.0
Erlenbach_2023-06-20_1,143769.0
DNA28_PosCtrl,132521.0
Grenchen_2023-06-20_1B,131933.0
Lavaux_2021-08-31_bark_Plot19,122867.0
Lavaux_2022-03-08_soil_Plot4,122259.0
Lavaux_2021-08-31_bark_Plot20,120738.0
Lavaux_2022-03-08_soil_Plot15,118074.0
Lavaux_2022-08-10_soil_Plot14,112829.0
Grenchen_2021-10-13_soil_1B,100761.0
Lavaux_2022-08-10_soil_Plot4,99541.0
Grenchen_2021-06-11_soil_1C_ref,98714.0
Lavaux_2021-08-31_soil_Plot11,98168.0
Lavaux_2022-08-10_soil_Plot13,93105.0
Lavaux_2022-08-10_soil_Plot15,92265.0
Lavaux_2023-08-24_soil_Plot19,91526.0
Grenchen_2021-07-21_soil_2B,87924.0
Lavaux_2021-08-31_bark_Plot4,87375.0
Lavaux_2022-08-10_bark_Plot12,75895.0
Erlenbach_2023-06-20_3,75418.0
Grenchen_2022-03-08_2B,69498.0
Lavaux_2022-08-10_bark_Plot4,66553.0
MV_Post-MLF_Plot5_2023-12-11,60461.0
Lavaux_2022-08-10_bark_Plot11,60209.0
MV_Post-AF_Plot5_2022-09-30,56264.0
Grenchen_2021-06-11_soil_2A_ref,55753.0
Lavaux_2022-08-10_soil_Plot20,52884.0
Lavaux_2022-08-10_bark_Plot15,51402.0
Lavaux_2023-05-10_soil_Plot5,51169.0
Lavaux_2021-08-31_soil_Plot19,50001.0
Erlenbach_2023-06-20_4,49666.0
Lavaux_2021-08-31_bark_Plot5,48790.0
DNA41_negCtrl_4,47471.0
Grenchen_2021-06-11_soil_2A,41714.0
Champlan_1_17-08-2023_soil,40929.0
Lavaux_2022-03-08_soil_Plot11,38898.0
Leytron_Agroscope2_17-08-2023_soil,38057.0
MV_Post-MLF_Plot13_2023-12-11,38051.0
Miege_3_17-08-2023_soil,33348.0
DNA31_PosCtrl,32940.0
Fluntern_2023-10-10_1A,32680.0
Lavaux_2022-08-10_bark_Plot5,32288.0
Grenchen_2022-07-02_2A,32068.0
Grenchen_2023-08-23_2A,31887.0
Lavaux_2022-03-08_soil_Plot12,31781.0
Lavaux_2021-08-31_bark_Plot9,31587.0
Erlenbach_2023-10-10_5,30743.0
Lavaux_2023-05-10_soil_Plot17,30549.0
DNA14_PosCtrl_1,30195.0
MV_Post-MLF_Plot9_2023-12-11,29970.0
Lavaux_2021-08-31_bark_Plot13,29963.0
Grenchen_2023-10-10_2B,29872.0
Grenchen_2023-06-20_2C,29800.0
Erlenbach_2023-08-23_4,28953.0
Grenchen_2021-10-13_soil_2C,27517.0
Grenchen_2021-10-13_soil_1A,27259.0
MV_Post-AF_Plot19_2022-09-30,27173.0
Grenchen_2021-10-13_soil_2A,26936.0
Lavaux_2023-08-24_soil_Plot4,26917.0
DNA11_PosCtrl_1,26540.0
MV_Post-MLF_Plot14_2023-12-11,26433.0
Lavaux_2021-08-31_leaf_Plot9,25664.0
Lavaux_2021-08-31_bark_Plot14,24103.0
Grenchen_2023-06-20_1C,24095.0
MV_Post-AF_Plot14_2022-09-30,23404.0
Lavaux_2022-03-08_soil_Plot13,23179.0
Lavaux_2021-08-31_soil_Plot15,21597.0
Fluntern_2023-06-20_1A,21192.0
Grenchen_2023-10-10_1B,20051.0
Grenchen_2022-10-20_1B,19539.0
Lavaux_2021-08-31_bark_Plot12,19113.0
Lavaux_2023-05-10_soil_Plot9,18975.0
Erlenbach_2023-06-20_5,18747.0
Erlenbach_2022-06-03_2,17605.0
Erlenbach_2022-08-11_2,17575.0
Lavaux_2023-08-24_soil_Plot5,17297.0
Lavaux_2021-09-30_must_Plot15_Row10/Vine10_ID133,16715.0
Lavaux_2021-09-30_must_Plot15_Row15/Vine20_ID143,16704.0
Lavaux_2023-05-10_soil_Plot19,16439.0
Lavaux_2023-05-10_soil_Plot15,15989.0
Grenchen_2021-10-13_soil_2B,14999.0
Fluntern_2023-08-23_1A,14936.0
Fluntern_2023-06-20_1B,14409.0
Grenchen_2023-10-10_1C,14177.0
Lavaux_2023-05-10_soil_Plot13,13202.0
Lavaux_2021-09-30_must_Plot12_Row6/Vine50_ID90,12890.0
Lavaux_2023-05-10_soil_Plot4,12879.0
Grenchen_2023-08-23_1C,12470.0
Sav_3_17-08-2023_soil,12214.0
MV_Must_Plot12_2022-09-13,11952.0
Lavaux_2021-08-31_soil_Plot17,11854.0
Grenchen_2022-07-02_2C,11423.0
Lavaux_2022-08-10_bark_Plot19,11128.0
22DL04M_5657_lees,10965.0
Mart_6_17-08-2023_soil,10720.0
Lavaux_2021-09-30_must_Plot20_Row11/Vine20_ID213,10608.0
MV_Must_Plot4_2022-09-13,10439.0
DNA49_PosCtrl,10215.0
Erlenbach_2022-10-20_2,9977.0
Sav_1_17-08-2023_soil,9951.0
Lavaux_2023-08-24_soil_Plot15,9945.0
MV_Must_Plot13_2022-09-13,9521.0
Leytron_Agroscope3_17-08-2023_soil,8776.0
Lavaux_2021-08-31_bark_Plot18,8723.0
Lavaux_2022-08-10_bark_Plot9,8241.0
MV_Must_Plot19_2023-09-23,8239.0
Erlenbach_2023-06-20_2,8024.0
DNA12_PosCtrl,7972.0
DNA39_PosCtrl,7940.0
Lavaux_2021-08-31_soil_Plot18,7898.0
Lavaux_2023-08-24_soil_Plot12,7773.0
Lavaux_2022-03-08_soil_Plot5,7586.0
MV_Post-AF_Plot4_2022-09-30,7477.0
MV_Post-MLF_Plot4_2023-12-11,7440.0
Valais_75,7289.0
Lavaux_2022-03-08_soil_Plot18,6963.0
Grenchen_2022-10-20_1C,6768.0
