id	SAMPLE_NAME	Collection_ID	Plot_ID	COLLECTION_DATE	Time_point	Year	Year_Cat	Quadrant	Cluster	Plot_PCA_kMeans_Cluster	Plot_Rep	Plot_No	Date	Brix_degree	Tartrate_gL	Malate_gL	Glucose_gL	Fructose_gL
364526_309-LP3-ITS-0885	Lavaux_2021-08-31_must_Plot4	Veraison_2021	Lavaux_Plot_4	2021-08-31 00:00:00 +0200	Veraison	2021	Year2021	NW	Cluster3	Cluster1	4	4	2021-08-31	13.0				
364526_308-LP3-ITS-0884	Lavaux_2021-08-31_must_Plot5	Veraison_2021	Lavaux_Plot_5	2021-08-31 00:00:00 +0200	Veraison	2021	Year2021	SW	Cluster3	Cluster3	5	5	2021-08-31	14.0				
364526_310-LP3-ITS-0886	Lavaux_2021-08-31_must_Plot9	Veraison_2021	Lavaux_Plot_9	2021-08-31 00:00:00 +0200	Veraison	2021	Year2021	NE	Cluster3	Cluster2	9	9	2021-08-31	13.5				
364526_317-LP3-ITS-0893	Lavaux_2021-08-31_must_Plot11	Veraison_2021	Lavaux_Plot_11	2021-08-31 00:00:00 +0200	Veraison	2021	Year2021	NW	Cluster3	Cluster1	11	11	2021-08-31	10.8				
364526_316-LP3-ITS-0892	Lavaux_2021-08-31_must_Plot12	Veraison_2021	Lavaux_Plot_12	2021-08-31 00:00:00 +0200	Veraison	2021	Year2021	NW	Cluster1	Cluster1	12	12	2021-08-31	12.8				
364526_313-LP3-ITS-0889	Lavaux_2021-08-31_must_Plot13	Veraison_2021	Lavaux_Plot_13	2021-08-31 00:00:00 +0200	Veraison	2021	Year2021	NW	Cluster3	Cluster1	13	13	2021-08-31	14.6				
364526_315-LP3-ITS-0891	Lavaux_2021-08-31_must_Plot14	Veraison_2021	Lavaux_Plot_14	2021-08-31 00:00:00 +0200	Veraison	2021	Year2021	NW	Cluster3	Cluster3	14	14	2021-08-31	14.0				
364526_312-LP3-ITS-0888	Lavaux_2021-08-31_must_Plot15	Veraison_2021	Lavaux_Plot_15	2021-08-31 00:00:00 +0200	Veraison	2021	Year2021	NW	Cluster1	Cluster1	15	15	2021-08-31	11.0				
364526_318-LP3-ITS-0894	Lavaux_2021-08-31_must_Plot18	Veraison_2021	Lavaux_Plot_18	2021-08-31 00:00:00 +0200	Veraison	2021	Year2021	SE	Cluster2	Cluster3	18	18	2021-08-31	13.0				
364526_314-LP3-ITS-0890	Lavaux_2021-08-31_must_Plot19	Veraison_2021	Lavaux_Plot_19	2021-08-31 00:00:00 +0200	Veraison	2021	Year2021	SE	Cluster2	Cluster2	19	19	2021-08-31	12.8				
364526_311-LP3-ITS-0887	Lavaux_2021-08-31_must_Plot20	Veraison_2021	Lavaux_Plot_20	2021-08-31 00:00:00 +0200	Veraison	2021	Year2021	SE	Cluster2	Cluster4	20	20	2021-08-31	11.8				
364526_307-LP3-ITS-0883	Lavaux_2021-08-31_must_Plot17	Veraison_2021	Lavaux_Plot_17	2021-08-31 00:00:00 +0200	Veraison	2021	Year2021	SE	Cluster2	Cluster3	17	17	2021-08-31	13.0				
364525_027-LP3-ITS-0027	Lavaux_2021-09-30_must_Plot4_Row6/Vine10_ID1	Harvest_2021	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	Harvest	2021	Year2021	NW	Cluster3	Cluster1	4	4	2021-09-30		1.2926	1.3541	18.1849	19.5492
364525_048-LP3-ITS-0048	Lavaux_2021-09-30_must_Plot4_Row6/Vine30_ID2	Harvest_2021	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	Harvest	2021	Year2021	NW	Cluster3	Cluster1	4	4	2021-09-30		1.2926	1.3541	18.1849	19.5492
364525_166-LP3-ITS-0166	Lavaux_2021-09-30_must_Plot4_Row7/Vine20_ID3	Harvest_2021	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	Harvest	2021	Year2021	NW	Cluster3	Cluster1	4	4	2021-09-30		1.2926	1.3541	18.1849	19.5492
364525_019-LP3-ITS-0019	Lavaux_2021-09-30_must_Plot4_Row8/Vine10_ID4	Harvest_2021	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	Harvest	2021	Year2021	NW	Cluster3	Cluster1	4	4	2021-09-30		1.2926	1.3541	18.1849	19.5492
364525_075-LP3-ITS-0075	Lavaux_2021-09-30_must_Plot4_Row8/Vine30_ID5	Harvest_2021	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	Harvest	2021	Year2021	NW	Cluster3	Cluster1	4	4	2021-09-30		1.2926	1.3541	18.1849	19.5492
364525_001-LP3-ITS-0001	Lavaux_2021-09-30_must_Plot4_Row9/Vine20_ID6	Harvest_2021	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	Harvest	2021	Year2021	NW	Cluster3	Cluster1	4	4	2021-09-30		1.2926	1.3541	18.1849	19.5492
364525_017-LP3-ITS-0017	Lavaux_2021-09-30_must_Plot4_Row10/Vine10_ID7	Harvest_2021	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	Harvest	2021	Year2021	NW	Cluster3	Cluster1	4	4	2021-09-30		1.2926	1.3541	18.1849	19.5492
364526_326-LP3-ITS-0902	Lavaux_2021-09-30_must_Plot4_Row10/Vine30_ID8	Harvest_2021	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	Harvest	2021	Year2021	NW	Cluster3	Cluster1	4	4	2021-09-30		1.2926	1.3541	18.1849	19.5492
364525_026-LP3-ITS-0026	Lavaux_2021-09-30_must_Plot4_Row11/Vine20_ID9	Harvest_2021	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	Harvest	2021	Year2021	NW	Cluster3	Cluster1	4	4	2021-09-30		1.2926	1.3541	18.1849	19.5492
364525_172-LP3-ITS-0172	Lavaux_2021-09-30_must_Plot4_Row12/Vine10_ID10	Harvest_2021	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	Harvest	2021	Year2021	NW	Cluster3	Cluster1	4	4	2021-09-30		1.2926	1.3541	18.1849	19.5492
364525_247-LP3-ITS-0247	Lavaux_2021-09-30_must_Plot4_Row12/Vine30_ID11	Harvest_2021	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	Harvest	2021	Year2021	NW	Cluster3	Cluster1	4	4	2021-09-30		1.2926	1.3541	18.1849	19.5492
364525_165-LP3-ITS-0165	Lavaux_2021-09-30_must_Plot4_Row13/Vine20_ID12	Harvest_2021	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	Harvest	2021	Year2021	NW	Cluster3	Cluster1	4	4	2021-09-30		1.2926	1.3541	18.1849	19.5492
364525_068-LP3-ITS-0068	Lavaux_2021-09-30_must_Plot4_Row14/Vine10_ID13	Harvest_2021	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	Harvest	2021	Year2021	NW	Cluster3	Cluster1	4	4	2021-09-30		1.2926	1.3541	18.1849	19.5492
364525_144-LP3-ITS-0144	Lavaux_2021-09-30_must_Plot4_Row14/Vine30_ID14	Harvest_2021	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	Harvest	2021	Year2021	NW	Cluster3	Cluster1	4	4	2021-09-30		1.2926	1.3541	18.1849	19.5492
364525_174-LP3-ITS-0174	Lavaux_2021-09-30_must_Plot4_Row15/Vine20_ID15	Harvest_2021	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	Harvest	2021	Year2021	NW	Cluster3	Cluster1	4	4	2021-09-30		1.2926	1.3541	18.1849	19.5492
