id	SAMPLE_NAME	sample_type	Plot_ID	COLLECTION_DATE	Year	Plot	Altitude	Average_slope	Exposition	Min_radiation	Max_radiation	Average_radiation	Soil_thickness	Soil_type	Soil_depth	Hydromorphie	Hydromorphie_code	Geology	Must_Oechsle	Wine_Tartatic_Acid	Wine_Malic_Acid	Wine_Glucose	Wine_Fructose	Wine_Lactic_Acid	Wien_Glycerol	Wine_Acetic_Acid
364526_290-LP3-ITS-0866	Lavaux_2021-08-31_bark_Plot4	bark	Lavaux_Plot_4	2021-08-31 00:00:00 +0200	2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	73.0	3.38	0.09	0.35	0.31	1.77	7.84	0.86
364526_289-LP3-ITS-0865	Lavaux_2021-08-31_bark_Plot5	bark	Lavaux_Plot_5	2021-08-31 00:00:00 +0200	2021	5	400	30	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Molasse	75.0	2.9	0.06	0.34	0.3	1.62	7.45	0.63
364526_285-LP3-ITS-0861	Lavaux_2021-08-31_bark_Plot9	bark	Lavaux_Plot_9	2021-08-31 00:00:00 +0200	2021	9	520	35	South-West	875	900	887.5	calcosol	Calcaire	100-180	no_redox	0	Molasse	73.0	2.99	0.07	0.32	0.26	1.51	6.56	0.79
364526_287-LP3-ITS-0863	Lavaux_2021-08-31_bark_Plot11	bark	Lavaux_Plot_11	2021-08-31 00:00:00 +0200	2021	11	490	20	South	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Gravel_moraine	75.0	3.42	0.06	0.33	0.3	1.87	7.13	1.03
364526_282-LP3-ITS-0858	Lavaux_2021-08-31_bark_Plot12	bark	Lavaux_Plot_12	2021-08-31 00:00:00 +0200	2021	12	520	15	South-West	925	950	937.5	colluviosol	Calcique	above_150	Slightly_redox	1	Colluvium	73.0	2.89	0.07	0.33	0.29	1.67	6.59	0.6
364526_286-LP3-ITS-0862	Lavaux_2021-08-31_bark_Plot13	bark	Lavaux_Plot_13	2021-08-31 00:00:00 +0200	2021	13	580	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	75.0	2.61	0.09	0.33	0.28	1.53	7.13	0.68
364526_278-LP3-ITS-0854	Lavaux_2021-08-31_bark_Plot14	bark	Lavaux_Plot_14	2021-08-31 00:00:00 +0200	2021	14	440	25	South	900	925	912.5	calcosol	Calcaire	100-180	Slightly_redox	1	Bottom_moraine	78.0	3.06	0.06	0.34	0.29	1.47	6.9	0.77
364526_280-LP3-ITS-0856	Lavaux_2021-08-31_bark_Plot15	bark	Lavaux_Plot_15	2021-08-31 00:00:00 +0200	2021	15	520	30	South-West	900	925	912.5	calcosol	Calcique	100-180	no_redox	0	Gravel_moraine	73.0	3.43	0.07	0.33	0.3	1.69	6.29	0.75
364526_277-LP3-ITS-0853	Lavaux_2021-08-31_bark_Plot18	bark	Lavaux_Plot_18	2021-08-31 00:00:00 +0200	2021	18	470	25	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Gravel_moraine	69.0	3.1	0.06	0.33	0.27	1.59	7.39	1.19
364526_276-LP3-ITS-0852	Lavaux_2021-08-31_bark_Plot19	bark	Lavaux_Plot_19	2021-08-31 00:00:00 +0200	2021	19	510	50	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Gravel_moraine	68.0	3.78	0.06	0.33	0.28	1.58	7.26	1.02
364526_275-LP3-ITS-0851	Lavaux_2021-08-31_bark_Plot20	bark	Lavaux_Plot_20	2021-08-31 00:00:00 +0200	2021	20	470	20	South	925	950	937.5	calcosol	Calcaire	100-180	no_redox	0	Bottom_moraine	76.0	3.15	0.06	0.32	0.27	1.7	7.12	1.19
364526_129-LP3-ITS-0705	Lavaux_2021-08-31_bark_Plot17	bark	Lavaux_Plot_17	2021-08-31 00:00:00 +0200	2021	17	390	20	South-West	900	925	912.5	calcosol	Calcaire	40-100	Slightly_redox	1	Molasse	73.0	3.06	0.15	0.42	0.29	1.79	7.24	0.81
364526_513-LP3-ITS-1089	Lavaux_2021-08-31_leaf_Plot4_washed	leaf	Lavaux_Plot_4	2021-08-31 00:00:00 +0200	2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	73.0	3.38	0.09	0.35	0.31	1.77	7.84	0.86
364526_490-LP3-ITS-1066	Lavaux_2021-08-31_leaf_Plot5_washed	leaf	Lavaux_Plot_5	2021-08-31 00:00:00 +0200	2021	5	400	30	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Molasse	75.0	2.9	0.06	0.34	0.3	1.62	7.45	0.63
364526_481-LP3-ITS-1057	Lavaux_2021-08-31_leaf_Plot9_washed	leaf	Lavaux_Plot_9	2021-08-31 00:00:00 +0200	2021	9	520	35	South-West	875	900	887.5	calcosol	Calcaire	100-180	no_redox	0	Molasse	73.0	2.99	0.07	0.32	0.26	1.51	6.56	0.79
364526_506-LP3-ITS-1082	Lavaux_2021-08-31_leaf_Plot11_washed	leaf	Lavaux_Plot_11	2021-08-31 00:00:00 +0200	2021	11	490	20	South	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Gravel_moraine	75.0	3.42	0.06	0.33	0.3	1.87	7.13	1.03
364526_484-LP3-ITS-1060	Lavaux_2021-08-31_leaf_Plot12_washed	leaf	Lavaux_Plot_12	2021-08-31 00:00:00 +0200	2021	12	520	15	South-West	925	950	937.5	colluviosol	Calcique	above_150	Slightly_redox	1	Colluvium	73.0	2.89	0.07	0.33	0.29	1.67	6.59	0.6
364526_498-LP3-ITS-1074	Lavaux_2021-08-31_leaf_Plot13_washed	leaf	Lavaux_Plot_13	2021-08-31 00:00:00 +0200	2021	13	580	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	75.0	2.61	0.09	0.33	0.28	1.53	7.13	0.68
364526_492-LP3-ITS-1068	Lavaux_2021-08-31_leaf_Plot14_washed	leaf	Lavaux_Plot_14	2021-08-31 00:00:00 +0200	2021	14	440	25	South	900	925	912.5	calcosol	Calcaire	100-180	Slightly_redox	1	Bottom_moraine	78.0	3.06	0.06	0.34	0.29	1.47	6.9	0.77
364526_503-LP3-ITS-1079	Lavaux_2021-08-31_leaf_Plot15_washed	leaf	Lavaux_Plot_15	2021-08-31 00:00:00 +0200	2021	15	520	30	South-West	900	925	912.5	calcosol	Calcique	100-180	no_redox	0	Gravel_moraine	73.0	3.43	0.07	0.33	0.3	1.69	6.29	0.75
