id	SAMPLE_NAME	CTRL	Project	DNA_extraction_plate	Plate	Fungal conc. (ng/uL)
364526_478-LP3-ITS-1054	DNA24_negCtrl_2	NegCtrl	BotrytizedWine	DNA41	P11	3.0
364526_357-LP3-ITS-0933	MV_Post-AF_Plot4_2023-10-11	Sample	Lavaux	DNA42	P10	0.7
364526_236-LP3-ITS-0812	Lavaux_2023-09-20_must_Plot14_RepE	Sample	Lavaux	DNA40	P9	3.5
364526_479-LP3-ITS-1055	DNA41_negCtrl_2	NegCtrl	BotrytizedWine	DNA41	P11	15.3
364526_358-LP3-ITS-0934	MV_Must_Plot9_2023-09-23	Sample	Lavaux	DNA42	P10	7.8
364526_237-LP3-ITS-0813	Lavaux_2023-08-24_must_Plot12	Sample	Lavaux	DNA40	P9	0.6
364526_480-LP3-ITS-1056	DNA24_negCtrl_3	NegCtrl	BotrytizedWine	DNA41	P11	12.0
364526_359-LP3-ITS-0935	MV_Post-MLF_Plot15_2023-12-11	Sample	Lavaux	DNA42	P10	0.2
364526_238-LP3-ITS-0814	Lavaux_2023-09-20_must_Plot5_RepD	Sample	Lavaux	DNA40	P9	2.3
364526_360-LP3-ITS-0936	MV_Post-MLF_Plot14_2023-12-11	Sample	Lavaux	DNA42	P10	1.0
364526_239-LP3-ITS-0815	Lavaux_2023-08-24_must_Plot20	Sample	Lavaux	DNA40	P9	0.3
364526_474-LP3-ITS-1050	22DL07_8069_wine	Sample	BotrytizedWine	DNA41	P11	7.2
364526_353-LP3-ITS-0929	MV_Post-MLF_Plot20_2023-12-11	Sample	Lavaux	DNA42	P10	0.3
364526_232-LP3-ITS-0808	Lavaux_2023-09-20_must_Plot9_RepE	Sample	Lavaux	DNA40	P9	1.9
364526_475-LP3-ITS-1051	22DL07_102_wine	Sample	BotrytizedWine	DNA41	P11	4.0
364526_354-LP3-ITS-0930	MV_Must_Plot17_2023-09-23	Sample	Lavaux	DNA42	P10	2.9
364526_233-LP3-ITS-0809	Lavaux_2023-08-24_must_Plot15	Sample	Lavaux	DNA40	P9	0.001
364526_476-LP3-ITS-1052	DNA24_negCtrl_4	NegCtrl	BotrytizedWine	DNA41	P11	2.3
364526_355-LP3-ITS-0931	MV_Post-MLF_Plot17_2023-12-11	Sample	Lavaux	DNA42	P10	1.8
364526_234-LP3-ITS-0810	Lavaux_2023-09-20_must_Plot5_RepA	Sample	Lavaux	DNA40	P9	1.8
364526_477-LP3-ITS-1053	22DL07_5656_wine	Sample	BotrytizedWine	DNA41	P11	9.5
364526_356-LP3-ITS-0932	MV_Post-AF_Plot14_2023-10-11	Sample	Lavaux	DNA42	P10	4.2
364526_235-LP3-ITS-0811	Lavaux_2023-09-20_must_Plot9_RepB	Sample	Lavaux	DNA40	P9	2.3
364526_240-LP3-ITS-0816	Lavaux_2023-09-20_must_Plot5_RepB	Sample	Lavaux	DNA40	P9	0.001
364526_481-LP3-ITS-1057	Lavaux_2021-08-31_leaf_Plot9_washed	Sample	Lavaux	DNA49	P12	0.1
364526_482-LP3-ITS-1058	Lavaux_2021-08-31_leaf_Plot19_washed	Sample	Lavaux	DNA49	P12	0.9
364526_361-LP3-ITS-0937	MV_Must_Plot12_2023-09-23	Sample	Lavaux	DNA42	P10	4.8
364526_483-LP3-ITS-1059	empty	Sample	NOT-USE	DNA49	P12	0.4
364526_362-LP3-ITS-0938	MV_Post-AF_Plot20_2023-10-11	Sample	Lavaux	DNA42	P10	7.2
364526_241-LP3-ITS-0817	Lavaux_2023-09-20_must_Plot14_RepB	Sample	Lavaux	DNA40	P9	1.8
364526_484-LP3-ITS-1060	Lavaux_2021-08-31_leaf_Plot12_washed	Sample	Lavaux	DNA49	P12	0.3
364526_363-LP3-ITS-0939	P10_PCR-_PCR1_20240918	NegCtrl	Lavaux		P10	0.001
364526_242-LP3-ITS-0818	Lavaux_2023-08-24_must_Plot4	Sample	Lavaux	DNA40	P9	0.001
364526_467-LP3-ITS-1043	22DL04M_4621_wine	Sample	BotrytizedWine	DNA41	P11	6.7
364526_346-LP3-ITS-0922	MV_Post-AF_Plot19_2023-10-11	Sample	Lavaux	DNA42	P10	1.8
364526_468-LP3-ITS-1044	DNA41_negCtrl_1	NegCtrl	BotrytizedWine	DNA41	P11	5.2
364526_347-LP3-ITS-0923	MV_Must_Plot4_2023-09-23	Sample	Lavaux	DNA42	P10	7.7
364526_469-LP3-ITS-1045	22DL04M_5657_wine	Sample	BotrytizedWine	DNA41	P11	8.1
364526_348-LP3-ITS-0924	MV_Post-MLF_Plot12_2023-12-11	Sample	Lavaux	DNA42	P10	1.6
364526_470-LP3-ITS-1046	empty	Sample	NOT-USE	DNA41	P11	11.7
364526_349-LP3-ITS-0925	MV_Must_Plot15_2023-09-23	Sample	Lavaux	DNA42	P10	6.3
364526_463-LP3-ITS-1039	22DL03S_5660_wine	Sample	BotrytizedWine	DNA41	P11	3.2
364526_342-LP3-ITS-0918	MV_Post-MLF_Plot19_2023-12-11	Sample	Lavaux	DNA42	P10	0.3
364526_464-LP3-ITS-1040	22DL04M_8415_wine	Sample	BotrytizedWine	DNA41	P11	3.9
364526_343-LP3-ITS-0919	MV_Must_Plot5_2023-09-23	Sample	Lavaux	DNA42	P10	12.0
364526_465-LP3-ITS-1041	22DL04M_8419_wine	Sample	BotrytizedWine	DNA41	P11	6.1
364526_344-LP3-ITS-0920	MV_Post-AF_Plot5_2023-10-11	Sample	Lavaux	DNA42	P10	9.8
364526_466-LP3-ITS-1042	22DL04M_4761_wine	Sample	BotrytizedWine	DNA41	P11	3.4
364526_345-LP3-ITS-0921	MV_Must_Plot20_2023-09-23	Sample	Lavaux	DNA42	P10	5.1
364526_350-LP3-ITS-0926	MV_Post-AF_Plot17_2023-10-11	Sample	Lavaux	DNA42	P10	3.2
364526_471-LP3-ITS-1047	22DL05S_5653_wine	Sample	BotrytizedWine	DNA41	P11	11.4
364526_472-LP3-ITS-1048	22DL05S_4763_wine	Sample	BotrytizedWine	DNA41	P11	1.5
364526_351-LP3-ITS-0927	MV_Post-AF_Plot15_2023-10-11	Sample	Lavaux	DNA42	P10	1.9
364526_473-LP3-ITS-1049	22DL05S_7101_wine	Sample	BotrytizedWine	DNA41	P11	7.2
364526_352-LP3-ITS-0928	MV_Post-AF_Plot9_2023-10-11	Sample	Lavaux	DNA42	P10	10.7
364526_231-LP3-ITS-0807	Lavaux_2023-09-20_must_Plot14_RepA	Sample	Lavaux	DNA40	P9	0.4
364526_500-LP3-ITS-1076	Lavaux_2022-08-10_leaf_Plot13_washed	Sample	Lavaux	DNA49	P12	0.7
364526_379-LP3-ITS-0955		Sample	NOT-USE		P10	0.001
364526_258-LP3-ITS-0834	Lavaux_2021-08-31_leaf_Plot17	Sample	Lavaux	DNA16	P9	0.001
364526_137-LP3-ITS-0713	Lavaux_2023-08-24_leaf_Plot9	Sample	Lavaux	DNA39	P8	0.001
364526_380-LP3-ITS-0956		Sample	NOT-USE		P10	0.001
364526_259-LP3-ITS-0835	Lavaux_2021-08-31_soil_Plot5	Sample	Lavaux	DNA16	P9	0.001
364526_138-LP3-ITS-0714	Lavaux_2023-08-24_leaf_Plot4	Sample	Lavaux	DNA39	P8	0.001
364526_260-LP3-ITS-0836	Lavaux_2021-08-31_leaf_Plot15	Sample	Lavaux	DNA16	P9	0.001
364526_139-LP3-ITS-0715	Lavaux_2023-08-24_leaf_Plot12	Sample	Lavaux	DNA39	P8	0.001
364526_140-LP3-ITS-0716	Empty	Sample	NOT-USE	DNA39	P8	0.001
364526_496-LP3-ITS-1072	Lavaux_2022-08-10_leaf_Plot14_washed	Sample	Lavaux	DNA49	P12	1.5
364526_375-LP3-ITS-0951	MV_Post-AF_Plot12_Rep3_2021-10-16	Sample	Lavaux	DNA23	P10	0.4
364526_254-LP3-ITS-0830	Lavaux_2023-09-20_must_Plot9_RepD	Sample	Lavaux	DNA40	P9	2.1
364526_133-LP3-ITS-0709	Lavaux_2021-08-31_leaf_Plot14	Sample	Lavaux	DNA39	P8	0.001
364526_497-LP3-ITS-1073	Lavaux_2022-08-10_leaf_Plot11_washed	Sample	Lavaux	DNA49	P12	0.4
364526_376-LP3-ITS-0952	MV_Post-MLF_Plot14_2022-01-24	Sample	Lavaux	DNA23	P10	0.3
364526_255-LP3-ITS-0831		Sample	NOT-USE		P9	0.001
364526_134-LP3-ITS-0710	Lavaux_2023-08-24_leaf_Plot20	Sample	Lavaux	DNA39	P8	0.001
364526_498-LP3-ITS-1074	Lavaux_2021-08-31_leaf_Plot13_washed	Sample	Lavaux	DNA49	P12	0.3
364526_377-LP3-ITS-0953		Sample	NOT-USE		P10	0.001
364526_256-LP3-ITS-0832		Sample	NOT-USE		P9	0.001
364526_135-LP3-ITS-0711	Empty	Sample	NOT-USE	DNA39	P8	0.001
364526_499-LP3-ITS-1075	DNA49_PosCtrl	PosCtrl	Lavaux	DNA49	P12	15.7
364526_378-LP3-ITS-0954		Sample	NOT-USE		P10	0.001
364526_257-LP3-ITS-0833	Lavaux_2021-08-31_leaf_Plot18	Sample	Lavaux	DNA16	P9	0.001
364526_136-LP3-ITS-0712	Lavaux_2023-08-24_leaf_Plot15	Sample	Lavaux	DNA39	P8	0.001
364526_503-LP3-ITS-1079	Lavaux_2021-08-31_leaf_Plot15_washed	Sample	Lavaux	DNA49	P12	0.3
364526_382-LP3-ITS-0958		Sample	NOT-USE		P10	0.001
364526_261-LP3-ITS-0837	Lavaux_2021-08-31_leaf_Plot13	Sample	Lavaux	DNA16	P9	0.001
364526_504-LP3-ITS-1080	Lavaux_2023-08-24_leaf_Plot5_washed	Sample	Lavaux	DNA49	P12	0.3
364526_383-LP3-ITS-0959		Sample	NOT-USE		P10	0.001
364526_262-LP3-ITS-0838	Lavaux_2021-08-31_leaf_Plot12_1	Sample	Lavaux	DNA16	P9	0.1
364526_141-LP3-ITS-0717	Empty	Sample	NOT-USE	DNA39	P8	0.001
364526_505-LP3-ITS-1081	Lavaux_2022-08-10_leaf_Plot9_washed	Sample	Lavaux	DNA49	P12	0.1
364526_384-LP3-ITS-0960		Sample	NOT-USE		P10	0.001
364526_263-LP3-ITS-0839	Lavaux_2021-08-31_leaf_Plot11	Sample	Lavaux	DNA16	P9	0.001
364526_142-LP3-ITS-0718	Lavaux_2023-08-24_leaf_Plot17	Sample	Lavaux	DNA39	P8	0.001
364526_506-LP3-ITS-1082	Lavaux_2021-08-31_leaf_Plot11_washed	Sample	Lavaux	DNA49	P12	1.2
364526_385-LP3-ITS-0961	21DL07S_BL30_wine	Sample	BotrytizedWine	DNA41	P11	8.2
364526_264-LP3-ITS-0840	DO NOT USE (DUPLICATE)	Sample	NOT-USE	DNA16	P9	0.001
364526_143-LP3-ITS-0719	Lavaux_2023-08-24_leaf_Plot5	Sample	Lavaux	DNA39	P8	0.001
364526_501-LP3-ITS-1077	Lavaux_2022-08-10_leaf_Plot19_washed	Sample	Lavaux	DNA49	P12	0.3
364526_502-LP3-ITS-1078	Lavaux_2022-08-10_leaf_Plot4_washed	Sample	Lavaux	DNA49	P12	0.001
364526_381-LP3-ITS-0957		Sample	NOT-USE		P10	0.001
364526_489-LP3-ITS-1065	Lavaux_2023-08-24_leaf_Plot14_washed	Sample	Lavaux	DNA49	P12	0.1
364526_368-LP3-ITS-0944		Sample	NOT-USE		P10	0.001
364526_247-LP3-ITS-0823	Lavaux_2023-09-20_must_Plot17_RepE	Sample	Lavaux	DNA40	P9	2.9
364526_490-LP3-ITS-1066	Lavaux_2021-08-31_leaf_Plot5_washed	Sample	Lavaux	DNA49	P12	0.2
364526_369-LP3-ITS-0945	MV_Post-MLF_Plot5_2022-01-24	Sample	Lavaux	DNA23	P10	7.9
364526_248-LP3-ITS-0824	Lavaux_2023-08-24_must_Plot9	Sample	Lavaux	DNA40	P9	0.6
364526_370-LP3-ITS-0946	MV_Post-MLF_Plot13_2022-01-24	Sample	Lavaux	DNA23	P10	0.3
364526_249-LP3-ITS-0825	Lavaux_2023-09-20_must_Plot17_RepA	Sample	Lavaux	DNA40	P9	3.5
364526_250-LP3-ITS-0826	Lavaux_2023-08-24_must_Plot13	Sample	Lavaux	DNA40	P9	0.4
364526_485-LP3-ITS-1061	Lavaux_2023-08-24_leaf_Plot13_washed	Sample	Lavaux	DNA49	P12	0.2
364526_364-LP3-ITS-0940		Sample	NOT-USE		P10	0.001
364526_243-LP3-ITS-0819	Lavaux_2023-09-20_must_Plot5_RepC	Sample	Lavaux	DNA40	P9	1.1
364526_486-LP3-ITS-1062	Lavaux_2022-08-10_leaf_Plot17_washed	Sample	Lavaux	DNA49	P12	0.8
364526_365-LP3-ITS-0941		Sample	NOT-USE		P10	0.001
364526_244-LP3-ITS-0820	Lavaux_2023-08-24_must_Plot5	Sample	Lavaux	DNA40	P9	0.5
364526_487-LP3-ITS-1063	Lavaux_2023-08-24_leaf_Plot17_washed	Sample	Lavaux	DNA49	P12	0.1
364526_366-LP3-ITS-0942		Sample	NOT-USE		P10	0.001
364526_245-LP3-ITS-0821	Lavaux_2023-08-24_must_Plot14	Sample	Lavaux	DNA40	P9	0.001
364526_488-LP3-ITS-1064	Lavaux_2023-08-24_leaf_Plot20_washed	Sample	Lavaux	DNA49	P12	0.3
364526_367-LP3-ITS-0943		Sample	NOT-USE		P10	0.001
364526_246-LP3-ITS-0822	Lavaux_2023-09-20_must_Plot9_RepC	Sample	Lavaux	DNA40	P9	2.4
364526_492-LP3-ITS-1068	Lavaux_2021-08-31_leaf_Plot14_washed	Sample	Lavaux	DNA49	P12	0.6
364526_371-LP3-ITS-0947	MV_Post-MLF_Plot11_2022-01-24	Sample	Lavaux	DNA23	P10	0.6
364526_493-LP3-ITS-1069	Lavaux_2022-08-10_leaf_Plot20_washed	Sample	Lavaux	DNA49	P12	0.2
364526_372-LP3-ITS-0948	MV_Post-AF_Plot14_Rep1_2021-10-16	Sample	Lavaux	DNA23	P10	1.4
364526_251-LP3-ITS-0827	Lavaux_2023-09-20_must_Plot14_RepD	Sample	Lavaux	DNA40	P9	1.2
364526_494-LP3-ITS-1070	Lavaux_2022-08-10_leaf_Plot12_washed	Sample	Lavaux	DNA49	P12	0.6
364526_373-LP3-ITS-0949	MV_Post-AF_Plot11_Rep3_2021-10-16	Sample	Lavaux	DNA23	P10	3.1
364526_252-LP3-ITS-0828	Lavaux_2023-09-20_must_Plot5_RepE	Sample	Lavaux	DNA40	P9	1.6
364526_131-LP3-ITS-0707	Lavaux_2021-08-31_leaf_Plot19	Sample	Lavaux	DNA39	P8	0.2
364526_495-LP3-ITS-1071	Lavaux_2023-08-24_leaf_Plot9_washed	Sample	Lavaux	DNA49	P12	1.1
364526_374-LP3-ITS-0950	MV_Post-MLF_Plot19_2022-01-24	Sample	Lavaux	DNA23	P10	0.7
364526_253-LP3-ITS-0829	Lavaux_2023-09-20_must_Plot14_RepC	Sample	Lavaux	DNA40	P9	0.5
364526_132-LP3-ITS-0708	Lavaux_2021-08-31_leaf_Plot20	Sample	Lavaux	DNA39	P8	0.001
364526_491-LP3-ITS-1067	Lavaux_2023-08-24_leaf_Plot15_washed	Sample	Lavaux	DNA49	P12	0.2
364526_555-LP3-ITS-1131	Grenchen_2022-07-02_1B_grapes	Sample	SoilColonialization	DNA49	P12	0.001
364526_434-LP3-ITS-1010	DNA24_negCtrl_5	NegCtrl	BotrytizedWine	DNA41	P11	0.001
364526_556-LP3-ITS-1132	Grenchen_2022-07-02_1A_grapes	Sample	SoilColonialization	DNA49	P12	0.001
364526_435-LP3-ITS-1011	21DL06M_BL25_wine	Sample	BotrytizedWine	DNA41	P11	2.6
364526_557-LP3-ITS-1133	MV_Must_Plot14_2022-09-13	Sample	Lavaux	DNA28	P12	4.9
364526_436-LP3-ITS-1012	21DL06M_9060_wine	Sample	BotrytizedWine	DNA41	P11	6.0
364526_558-LP3-ITS-1134	MV_Must_Plot5_2022-09-13	Sample	Lavaux	DNA28	P12	7.5
364526_437-LP3-ITS-1013	21DL06M_54_wine	Sample	BotrytizedWine	DNA41	P11	3.6
364526_551-LP3-ITS-1127	MV_Must_Plot17_2022-09-13	Sample	Lavaux	DNA28	P12	5.4
364526_552-LP3-ITS-1128	DNA28_NegCtrl	NegCtrl	SoilColonialization	DNA28	P12	1.4
364526_431-LP3-ITS-1007	21DL05S_2206_wine	Sample	BotrytizedWine	DNA41	P11	0.001
364526_553-LP3-ITS-1129	Grenchen_2022-07-02_2A_grapes	Sample	SoilColonialization	DNA49	P12	0.001
364526_432-LP3-ITS-1008	21DL05S_2751_wine	Sample	BotrytizedWine	DNA41	P11	3.6
364526_554-LP3-ITS-1130	Grenchen_2022-07-02_2C_grapes	Sample	SoilColonialization	DNA49	P12	0.2
364526_433-LP3-ITS-1009	21DL05S_4235_wine	Sample	BotrytizedWine	DNA41	P11	0.001
364526_559-LP3-ITS-1135	MV_Post-AF_Plot9_2022-09-30	Sample	Lavaux	DNA28	P12	17.8
364526_438-LP3-ITS-1014	21DL06S_1081_wine	Sample	BotrytizedWine	DNA41	P11	6.8
364526_560-LP3-ITS-1136	MV_Must_Plot19_2022-09-13	Sample	Lavaux	DNA28	P12	7.2
364526_439-LP3-ITS-1015	21DL06S_1094_wine	Sample	BotrytizedWine	DNA41	P11	4.1
364526_440-LP3-ITS-1016	21DL06S_1080_wine	Sample	BotrytizedWine	DNA41	P11	2.8
364526_561-LP3-ITS-1137	MV_Must_Plot15_2022-09-13	Sample	Lavaux	DNA28	P12	4.8
364526_544-LP3-ITS-1120	Grenchen_2022-07-02_2B_grapes	Sample	SoilColonialization	DNA49	P12	0.001
364526_545-LP3-ITS-1121	do not use	Sample	NOT-USE	DNA49	P12	0.001
364526_546-LP3-ITS-1122	do not use	Sample	NOT-USE	DNA49	P12	0.001
364526_547-LP3-ITS-1123	do not use	Sample	NOT-USE	DNA49	P12	0.001
364526_541-LP3-ITS-1117	Grenchen_2023-08-23_2A_grapes	Sample	SoilColonialization	DNA49	P12	3.1
364526_542-LP3-ITS-1118	Grenchen_2023-08-23_2B_grapes	Sample	SoilColonialization	DNA49	P12	2.4
364526_543-LP3-ITS-1119	Grenchen_2022-07-02_1C_grapes	Sample	SoilColonialization	DNA49	P12	0.001
364526_548-LP3-ITS-1124	do not use	Sample	NOT-USE	DNA49	P12	0.001
364526_549-LP3-ITS-1125	MV_Post-AF_Plot13_2022-09-30	Sample	Lavaux	DNA28	P12	11.1
