Plot,Year,Phenology_BudBreak,Phenology_Flowering,Hail_Damage,Herbicide,Mildew,Grape_Yield_Estimate,Pruning_Weight,Must_Oechsle,Wine_Tartatic_Acid,Wine_Malic_Acid,Wine_Glucose,Wine_Fructose,Wine_Lactic_Acid,Wien_Glycerol,Wine_Acetic_Acid
4,2021,105,170,no,band,yes,medium,49.71,73,3.38,0.09,0.35,0.31,1.77,7.84,0.86
5,2021,104,167,no,band,no,medium,57.41,75,2.90,0.06,0.34,0.30,1.62,7.45,0.63
9,2021,111,172,no,almost_total,yes,low,38.99,73,2.99,0.07,0.32,0.26,1.51,6.56,0.79
11,2021,109,173,yes,band,yes,low,47.67,75,3.42,0.06,0.33,0.30,1.87,7.13,1.03
12,2021,107,173,no,almost_total,yes,medium,54.09,73,2.89,0.07,0.33,0.29,1.67,6.59,0.60
13,2021,110,173,no,total,yes,high,43.19,75,2.61,0.09,0.33,0.28,1.53,7.13,0.68
14,2021,107,172,no,noe,no,medium,49.09,78,3.06,0.06,0.34,0.29,1.47,6.90,0.77
15,2021,112,174,yes,band,yes,high,38.70,73,3.43,0.07,0.33,0.30,1.69,6.29,0.75
17,2021,108,169,yes,band,yes,medium,53.13,73,3.06,0.15,0.42,0.29,1.79,7.24,0.81
18,2021,107,173,no,band,yes,medium,46.36,69,3.10,0.06,0.33,0.27,1.59,7.39,1.19
19,2021,107,173,no,total,yes,high,41.53,68,3.78,0.06,0.33,0.28,1.58,7.26,1.02
20,2021,109,168,no,band,yes,medium,44.10,76,3.15,0.06,0.32,0.27,1.70,7.12,1.19
4,2022,107,154,no,band,no,medium,36.74,80,1.30,0.05,0.20,0.20,0.52,4.73,0.33
5,2022,104,153,no,band,no,high,45.94,81,1.03,0.05,0.20,0.20,1.01,5.13,0.76
9,2022,107,155,no,almost_total,no,high,33.92,76,1.12,0.05,0.20,0.20,0.58,4.75,0.71
11,2022,105,155,no,band,no,medium,40.97,NA,,,,,,,
12,2022,105,156,no,almost_total,no,medium,48.10,71,1.57,0.05,0.20,0.20,0.61,4.56,0.29
13,2022,107,157,no,total,no,high,36.36,74,1.13,0.05,0.20,0.20,0.56,4.19,0.23
14,2022,106,155,no,noe,no,low,38.17,84,1.38,0.05,0.20,0.20,0.52,4.80,0.60
15,2022,108,157,no,band,no,high,31.22,75,1.66,0.05,0.20,0.20,0.44,4.53,0.37
17,2022,104,153,no,band,no,medium,38.00,81,0.97,0.05,0.20,1.44,0.94,5.15,0.95
18,2022,106,154,no,band,no,NA,33.00,NA,,,,,,,
19,2022,105,156,no,total,no,high,43.96,73,0.81,0.05,0.20,0.20,0.81,4.54,0.43
20,2022,105,156,no,band,no,medium,34.64,82,1.40,0.05,0.20,0.20,0.50,4.72,0.36
4,2023,106,168,no,band,no,medium,41.77,72,2.02,0.09,0.46,0.62,0.95,5.83,0.83
5,2023,103,165,no,band,no,medium,51.42,71,1.88,0.05,0.47,0.64,1.09,6.12,0.72
9,2023,109,170,no,almost_total,no,medium,38.33,74,1.70,0.08,0.47,0.50,0.98,6.15,0.69
12,2023,105,165,no,band,no,medium,47.42,75,2.71,0.09,0.44,0.62,0.98,5.87,0.62
13,2023,110,166,no,total ,no,high,41.79,71,1.70,0.05,0.44,0.55,1.01,5.85,0.62
14,2023,106,165,no,no,no,low,39.54,80,2.15,0.15,0.72,2.03,1.16,6.12,1.63
15,2023,110,172,no,band,no,medium,38.91,71,2.65,0.13,0.61,1.04,0.78,4.79,2.21
17,2023,103,164,no,band,no,medium,43.72,75,2.36,0.16,0.97,2.34,1.04,5.76,1.72
19,2023,106,167,no,total ,no,high,45.92,66,1.44,0.08,0.48,0.56,1.14,4.98,0.80
20,2023,105,165,no,band,no,medium,37.67,76,2.24,0.08,0.46,0.81,0.89,5.70,0.82
