id 	plot	row	vine	Lat	Long
Plot_4_row_6_vine_10	4	6	10	46.498412	6.708026
Plot_4_row_6_vine_30	4	6	30	46.498521	6.708104
Plot_4_row_7_vine_20	4	7	20	46.498458	6.708079
Plot_4_row_8_vine_10	4	8	10	46.498383	6.708045
Plot_4_row_8_vine_30	4	8	30	46.498503	6.708129
Plot_4_row_9_vine_20	4	9	20	46.498438	6.708104
Plot_4_row_10_vine_10	4	10	10	46.49838	6.708084
Plot_4_row_10_vine_30	4	10	30	46.498487	6.708157
Plot_4_row_11_vine_20	4	11	20	46.498434	6.708141
Plot_4_row_12_vine_10	4	12	10	46.498368	6.708117
Plot_4_row_12_vine_30	4	12	30	46.498478	6.708195
Plot_4_row_13_vine_20	4	13	20	46.498422	6.708171
Plot_4_row_14_vine_10	4	14	10	46.498374	6.708161
Plot_4_row_14_vine_30	4	14	30	46.498486	6.708237
Plot_4_row_15_vine_20	4	15	20	46.498422	6.708214
Plot_4_row_16_vine_10	4	16	10	46.498365	6.708196
Plot_4_row_16_vine_30	4	16	30	46.498459	6.708263
Plot_4_row_17_vine_20	4	17	20	46.498404	6.708244
Plot_4_row_18_vine_10	4	18	10	46.498358	6.70823
Plot_4_row_18_vine_30	4	18	30	46.498463	6.708325
Plot_4_row_19_vine_20	4	19	20	46.498405	6.708304
Plot_4_row_20_vine_10	4	20	10	46.498355	6.708289
Plot_4_row_20_vine_30	4	20	30	46.498448	6.708355
Plot_4_row_21_vine_20	4	21	20	46.498402	6.708343
Plot_5_row_2_vine_10	5	2	10	46.495539	6.709088
Plot_5_row_2_vine_30	5	2	30	46.495657	6.708924
Plot_5_row_2_vine_50	5	2	50	46.495747	6.708788
Plot_5_row_3_vine_20	5	3	20	46.495607	6.709018
Plot_5_row_3_vine_40	5	3	40	46.495709	6.708873
Plot_5_row_4_vine_10	5	4	10	46.495563	6.709112
Plot_5_row_4_vine_31	5	4	31	46.495669	6.70896
Plot_5_row_4_vine_50	5	4	50	46.495771	6.708816
Plot_5_row_5_vine_20	5	5	20	46.495625	6.709053
Plot_5_row_5_vine_41	5	5	41	46.495738	6.70889
Plot_5_row_6_vine_12	5	6	12	46.495596	6.709117
Plot_5_row_6_vine_20	5	6	20	46.495643	6.709052
Plot_5_row_6_vine_30	5	6	30	46.495709	6.708961
Plot_9_row_2_vine_10	9	2	10	46.499033	6.712118
Plot_9_row_3_vine_20	9	3	20	46.498954	6.712186
Plot_9_row_4_vine_10	9	4	10	46.49905	6.71214
Plot_9_row_4_vine_30	9	4	30	46.498891	6.712245
Plot_9_row_5_vine_20	9	5	20	46.498988	6.712197
Plot_9_row_5_vine_40	9	5	40	46.498886	6.712264
Plot_9_row_6_vine_10	9	6	10	46.49909	6.712149
Plot_9_row_6_vine_30	9	6	30	46.498964	6.712226
Plot_9_row_7_vine_20	9	7	20	46.499033	6.712203
Plot_9_row_7_vine_40	9	7	40	46.498914	6.712277
Plot_9_row_8_vine_10	9	8	10	46.49909	6.712181
Plot_9_row_8_vine_30	9	8	30	46.498975	6.712254
Plot_9_row_9_vine_20	9	9	20	46.499054	6.712214
Plot_9_row_9_vine_40	9	9	40	46.498922	6.712297
Plot_9_row_10_vine_10	9	10	10	46.499101	6.71219
Plot_9_row_10_vine_31	9	10	31	46.498962	6.71228
Plot_9_row_11_vine_22	9	11	22	46.49902	6.712261
Plot_9_row_11_vine_40	9	11	40	46.498912	6.71233
Plot_11_row_2_vine_10	11	2	10	46.499882	6.706351
Plot_11_row_2_vine_31	11	2	31	46.500027	6.706387
Plot_11_row_2_vine_51	11	2	51	46.500181	6.706427
Plot_11_row_3_vine_19	11	3	19	46.499948	6.706387
Plot_11_row_3_vine_40	11	3	40	46.500108	6.706427
Plot_11_row_4_vine_10	11	4	10	46.499888	6.706388
Plot_11_row_4_vine_32	11	4	32	46.500038	6.706425
Plot_11_row_4_vine_50	11	4	50	46.500164	6.706454
Plot_11_row_5_vine_19	11	5	19	46.499961	6.706422
Plot_11_row_5_vine_41	11	5	41	46.500119	6.706462
Plot_11_row_6_vine_22	11	6	22	46.499972	6.706445
Plot_11_row_6_vine_40	11	6	40	46.500105	6.70648
Plot_11_row_7_vine_15	11	7	15	46.499912	6.706449
Plot_11_row_7_vine_30	11	7	30	46.500018	6.706475
Plot_11_row_7_vine_50	11	7	50	46.500206	6.706524
Plot_11_row_8_vine_11	11	8	11	46.499882	6.706454
Plot_11_row_8_vine_30	11	8	30	46.500008	6.706494
Plot_11_row_8_vine_50	11	8	50	46.500168	6.706536
Plot_11_row_9_vine_20	11	9	20	46.499942	6.70649
Plot_11_row_9_vine_40	11	9	40	46.500078	6.706528
Plot_12_row_2_vine_10	12	2	10	46.502302	6.70482
Plot_12_row_2_vine_30	12	2	30	46.502449	6.704998
Plot_12_row_2_vine_50	12	2	50	46.502549	6.705101
Plot_12_row_3_vine_20	12	3	20	46.502326	6.704884
Plot_12_row_3_vine_41	12	3	41	46.502438	6.705038
Plot_12_row_3_vine_60	12	3	60	46.502552	6.70518
Plot_12_row_4_vine_10	12	4	10	46.502276	6.704864
Plot_12_row_4_vine_30	12	4	30	46.502405	6.705064
Plot_12_row_4_vine_50	12	4	50	46.502482	6.705162
Plot_12_row_5_vine_20	12	5	20	46.50231	6.704985
Plot_12_row_5_vine_40	12	5	40	46.502425	6.705143
Plot_12_row_5_vine_60	12	5	60	46.502499	6.705246
Plot_12_row_6_vine_11	12	6	11	46.502225	6.704904
Plot_12_row_6_vine_31	12	6	31	46.502368	6.705121
Plot_12_row_6_vine_50	12	6	50	46.50244	6.705211
Plot_12_row_7_vine_20	12	7	20	46.502232	6.705033
Plot_12_row_7_vine_40	12	7	40	46.502338	6.705172
Plot_12_row_7_vine_60	12	7	60	46.502465	6.705316
Plot_13_row_1_vine_10	13	1	10	46.501886	6.712115
Plot_13_row_1_vine_30	13	1	30	46.501953	6.711975
Plot_13_row_2_vine_20	13	2	20	46.501897	6.712056
Plot_13_row_3_vine_10	13	3	10	46.501856	6.712114
Plot_13_row_3_vine_30	13	3	30	46.501932	6.711957
Plot_13_row_4_vine_20	13	4	20	46.501882	6.712027
Plot_13_row_5_vine_10	13	5	10	46.50184	6.712085
Plot_13_row_5_vine_31	13	5	31	46.501921	6.711919
Plot_13_row_6_vine_20	13	6	20	46.50187	6.711991
Plot_14_row_2_vine_4	14	2	4	46.497673	6.705571
Plot_14_row_4_vine_4	14	4	4	46.497701	6.705579
Plot_14_row_5_vine_8	14	5	8	46.497735	6.705536
Plot_14_row_6_vine_4	14	6	4	46.497732	6.70558
Plot_14_row_6_vine_12	14	6	12	46.497767	6.705503
Plot_14_row_7_vine_8	14	7	8	46.497763	6.705547
Plot_14_row_8_vine_4	14	8	4	46.497759	6.70559
Plot_14_row_9_vine_10	14	9	10	46.497793	6.705546
Plot_14_row_10_vine_4	14	10	4	46.497784	6.7056
Plot_14_row_11_vine_8	14	11	8	46.497817	6.705565
Plot_14_row_12_vine_4	14	12	4	46.497813	6.705606
Plot_14_row_13_vine_10	14	13	10	46.497844	6.705549
Plot_14_row_14_vine_4	14	14	4	46.497823	6.705602
Plot_14_row_15_vine_9	14	15	9	46.497846	6.705573
Plot_14_row_16_vine_4	14	16	4	46.49784	6.705612
Plot_14_row_17_vine_10	14	17	10	46.497872	6.705557
Plot_14_row_18_vine_4	14	18	4	46.497855	6.705613
Plot_15_row_2_vine_11	15	2	11	46.505224	6.701974
Plot_15_row_3_vine_20	15	3	20	46.505275	6.702023
Plot_15_row_4_vine_10	15	4	10	46.505236	6.701939
Plot_15_row_4_vine_30	15	4	30	46.505329	6.702083
Plot_15_row_5_vine_20	15	5	20	46.505299	6.70201
Plot_15_row_5_vine_31	15	5	31	46.505348	6.70208
Plot_15_row_6_vine_10	15	6	10	46.505258	6.701923
Plot_15_row_6_vine_30	15	6	30	46.505377	6.702098
Plot_15_row_7_vine_20	15	7	20	46.505317	6.701982
