SAMPLE_NAME,Collection_ID,sample type,DNAextraction_plate,DNAextraction_well,LOCATION_ID,openBIS identifier,Collected by ,COLLECTION_DATE,Comment,id_sampling,Plot #,Row #,Vine #,Lat.,Long.,Replicate
Lavaux_2021-08-31_bark_Plot4,Veraison_2021,bark,DNA42,B1,Lavaux_Plot_4,/BOKULICH_MATERIALS/SAMPLES/ENV34,Lena Flörl,2021-08-31 00:00:00 +0200,,,4,,,,,
Lavaux_2021-08-31_bark_Plot5,Veraison_2021,bark,DNA42,A1,Lavaux_Plot_5,/BOKULICH_MATERIALS/SAMPLES/ENV38,Lena Flörl,2021-08-31 00:00:00 +0200,,,5,,,,,
Lavaux_2021-08-31_bark_Plot9,Veraison_2021,bark,DNA16,H6,Lavaux_Plot_9,/BOKULICH_MATERIALS/SAMPLES/ENV42,Lena Flörl,2021-08-31 00:00:00 +0200,,,9,,,,,
Lavaux_2021-08-31_bark_Plot11,Veraison_2021,bark,DNA16,B7,Lavaux_Plot_11,/BOKULICH_MATERIALS/SAMPLES/ENV46,Lena Flörl,2021-08-31 00:00:00 +0200,,,11,,,,,
Lavaux_2021-08-31_bark_Plot12,Veraison_2021,bark,DNA16,D6,Lavaux_Plot_12,/BOKULICH_MATERIALS/SAMPLES/ENV50,Lena Flörl,2021-08-31 00:00:00 +0200,,,12,,,,,
Lavaux_2021-08-31_bark_Plot13,Veraison_2021,bark,DNA16,A7,Lavaux_Plot_13,/BOKULICH_MATERIALS/SAMPLES/ENV54,Lena Flörl,2021-08-31 00:00:00 +0200,,,13,,,,,
Lavaux_2021-08-31_bark_Plot14,Veraison_2021,bark,DNA16,H5,Lavaux_Plot_14,/BOKULICH_MATERIALS/SAMPLES/ENV58,Lena Flörl,2021-08-31 00:00:00 +0200,,,14,,,,,
Lavaux_2021-08-31_bark_Plot15,Veraison_2021,bark,DNA16,B6,Lavaux_Plot_15,/BOKULICH_MATERIALS/SAMPLES/ENV62,Lena Flörl,2021-08-31 00:00:00 +0200,,,15,,,,,
Lavaux_2021-08-31_bark_Plot18,Veraison_2021,bark,DNA16,G5,Lavaux_Plot_18,/BOKULICH_MATERIALS/SAMPLES/ENV66,Lena Flörl,2021-08-31 00:00:00 +0200,,,18,,,,,
Lavaux_2021-08-31_bark_Plot19,Veraison_2021,bark,DNA16,F5,Lavaux_Plot_19,/BOKULICH_MATERIALS/SAMPLES/ENV70,Lena Flörl,2021-08-31 00:00:00 +0200,,,19,,,,,
Lavaux_2021-08-31_bark_Plot20,Veraison_2021,bark,DNA16,D5,Lavaux_Plot_20,/BOKULICH_MATERIALS/SAMPLES/ENV74,Lena Flörl,2021-08-31 00:00:00 +0200,,,20,,,,,
Lavaux_2021-08-31_bark_Plot17,Veraison_2021,bark,DNA39,A5,Lavaux_Plot_17,/BOKULICH_MATERIALS/SAMPLES/ENV78,Lena Flörl,2021-08-31 00:00:00 +0200,,,17,,,,,
Lavaux_2021-08-31_leaf_Plot4_washed,Veraison_2021,leaf,DNA49,A5,Lavaux_Plot_4,/BOKULICH_MATERIALS/SAMPLES/ENV35,Lena Flörl,2021-08-31 00:00:00 +0200,Leaf DNA49 washed (see OpenBIS protocol),,4,,,,,
Lavaux_2021-08-31_leaf_Plot5_washed,Veraison_2021,leaf,DNA49,B2,Lavaux_Plot_5,/BOKULICH_MATERIALS/SAMPLES/ENV39,Lena Flörl,2021-08-31 00:00:00 +0200,Leaf DNA49 washed (see OpenBIS protocol),,5,,,,,
Lavaux_2021-08-31_leaf_Plot9_washed,Veraison_2021,leaf,DNA49,A1,Lavaux_Plot_9,/BOKULICH_MATERIALS/SAMPLES/ENV43,Lena Flörl,2021-08-31 00:00:00 +0200,Leaf DNA49 washed (see OpenBIS protocol),,9,,,,,
Lavaux_2021-08-31_leaf_Plot11_washed,Veraison_2021,leaf,DNA49,B4,Lavaux_Plot_11,/BOKULICH_MATERIALS/SAMPLES/ENV47,Lena Flörl,2021-08-31 00:00:00 +0200,Leaf DNA49 washed (see OpenBIS protocol),,11,,,,,
Lavaux_2021-08-31_leaf_Plot12_washed,Veraison_2021,leaf,DNA49,D1,Lavaux_Plot_12,/BOKULICH_MATERIALS/SAMPLES/ENV51,Lena Flörl,2021-08-31 00:00:00 +0200,Leaf DNA49 washed (see OpenBIS protocol),,12,,,,,
Lavaux_2021-08-31_leaf_Plot13_washed,Veraison_2021,leaf,DNA49,B3,Lavaux_Plot_13,/BOKULICH_MATERIALS/SAMPLES/ENV55,Lena Flörl,2021-08-31 00:00:00 +0200,Leaf DNA49 washed (see OpenBIS protocol),,13,,,,,
Lavaux_2021-08-31_leaf_Plot14_washed,Veraison_2021,leaf,DNA49,D2,Lavaux_Plot_14,/BOKULICH_MATERIALS/SAMPLES/ENV59,Lena Flörl,2021-08-31 00:00:00 +0200,Leaf DNA49 washed (see OpenBIS protocol),,14,,,,,
Lavaux_2021-08-31_leaf_Plot15_washed,Veraison_2021,leaf,DNA49,G3,Lavaux_Plot_15,/BOKULICH_MATERIALS/SAMPLES/ENV63,Lena Flörl,2021-08-31 00:00:00 +0200,Leaf DNA49 washed (see OpenBIS protocol),,15,,,,,
Lavaux_2021-08-31_leaf_Plot18_washed,Veraison_2021,leaf,DNA49,D4 ,Lavaux_Plot_18,/BOKULICH_MATERIALS/SAMPLES/ENV67,Lena Flörl,2021-08-31 00:00:00 +0200,Leaf DNA49 washed (see OpenBIS protocol),,18,,,,,
Lavaux_2021-08-31_leaf_Plot19_washed,Veraison_2021,leaf,DNA49,B1,Lavaux_Plot_19,/BOKULICH_MATERIALS/SAMPLES/ENV71,Lena Flörl,2021-08-31 00:00:00 +0200,Leaf DNA49 washed (see OpenBIS protocol),,19,,,,,
Lavaux_2021-08-31_leaf_Plot20_washed,Veraison_2021,leaf,DNA49,,Lavaux_Plot_20,/BOKULICH_MATERIALS/SAMPLES/ENV75,Lena Flörl,2021-08-31 00:00:00 +0200,Leaf DNA49 washed (see OpenBIS protocol),,20,,,,,
Lavaux_2021-08-31_leaf_Plot17_washed,Veraison_2021,leaf,DNA49,H4 ,Lavaux_Plot_17,/BOKULICH_MATERIALS/SAMPLES/ENV79,Lena Flörl,2021-08-31 00:00:00 +0200,Leaf DNA49 washed (see OpenBIS protocol),,17,,,,,
Lavaux_2021-08-31_leaf_Plot4,Veraison_2021,leaf,DNA16,E2,Lavaux_Plot_4,/BOKULICH_MATERIALS/SAMPLES/ENV35,Lena Flörl,2021-08-31 00:00:00 +0200,Leaf DNA49 washed (see OpenBIS protocol),,4,,,,,
Lavaux_2021-08-31_leaf_Plot5,Veraison_2021,leaf,DNA16,D2,Lavaux_Plot_5,/BOKULICH_MATERIALS/SAMPLES/ENV39,Lena Flörl,2021-08-31 00:00:00 +0200,Leaf DNA49 washed (see OpenBIS protocol),,5,,,,,
Lavaux_2021-08-31_leaf_Plot9,Veraison_2021,leaf,DNA16,A2/F6,Lavaux_Plot_9,/BOKULICH_MATERIALS/SAMPLES/ENV43,Lena Flörl,2021-08-31 00:00:00 +0200,Leaf DNA49 washed (see OpenBIS protocol),,9,,,,,
Lavaux_2021-08-31_leaf_Plot11,Veraison_2021,leaf,DNA16,H1,Lavaux_Plot_11,/BOKULICH_MATERIALS/SAMPLES/ENV47,Lena Flörl,2021-08-31 00:00:00 +0200,Leaf DNA49 washed (see OpenBIS protocol),,11,,,,,
Lavaux_2021-08-31_leaf_Plot12_1,Veraison_2021,leaf,DNA16,G1,Lavaux_Plot_12,/BOKULICH_MATERIALS/SAMPLES/ENV51,Lena Flörl,2021-08-31 00:00:00 +0200,Leaf DNA49 washed (see OpenBIS protocol),,12,,,,,
Lavaux_2021-08-31_leaf_Plot12_2,Veraison_2021,leaf,DNA15,E12,Lavaux_Plot_12,/BOKULICH_MATERIALS/SAMPLES/ENV51,Lena Flörl,2021-08-31 00:00:00 +0200,Leaf DNA49 washed (see OpenBIS protocol),,12,,,,,
Lavaux_2021-08-31_leaf_Plot13,Veraison_2021,leaf,DNA16,F1,Lavaux_Plot_13,/BOKULICH_MATERIALS/SAMPLES/ENV55,Lena Flörl,2021-08-31 00:00:00 +0200,Leaf DNA49 washed (see OpenBIS protocol),,13,,,,,
Lavaux_2021-08-31_leaf_Plot14,Veraison_2021,leaf,DNA16,E5,Lavaux_Plot_14,/BOKULICH_MATERIALS/SAMPLES/ENV59,Lena Flörl,2021-08-31 00:00:00 +0200,Leaf DNA49 washed (see OpenBIS protocol),,14,,,,,
