ID,Plot_Rep,Plot_No,Year,Month,Day,Date,Pheno_Stage,Brix_degree,Tartrate_gL,Malate_gL,Glucose_gL,Fructose_gL,Comments
Plot4_2021-08-31,4,4,2021,08,31,2021-08-31,Veraison,13,NA,NA,NA,NA,
Plot5_2021-08-31,5,5,2021,08,31,2021-08-31,Veraison,14,NA,NA,NA,NA,
Plot9_2021-08-31,9,9,2021,08,31,2021-08-31,Veraison,13.5,NA,NA,NA,NA,
Plot11_2021-08-31,11,11,2021,08,31,2021-08-31,Veraison,10.8,NA,NA,NA,NA,
Plot12_2021-08-31,12,12,2021,08,31,2021-08-31,Veraison,12.8,NA,NA,NA,NA,
Plot13_2021-08-31,13,13,2021,08,31,2021-08-31,Veraison,14.6,NA,NA,NA,NA,
Plot14_2021-08-31,14,14,2021,08,31,2021-08-31,Veraison,14,NA,NA,NA,NA,
Plot15_2021-08-31,15,15,2021,08,31,2021-08-31,Veraison,11,NA,NA,NA,NA,
Plot17_2021-08-31,17,17,2021,08,31,2021-08-31,Veraison,13,NA,NA,NA,NA,
Plot18_2021-08-31,18,18,2021,08,31,2021-08-31,Veraison,13,NA,NA,NA,NA,
Plot19_2021-08-31,19,19,2021,08,31,2021-08-31,Veraison,12.8,NA,NA,NA,NA,
Plot20_2021-08-31,20,20,2021,08,31,2021-08-31,Veraison,11.8,NA,NA,NA,NA,
Plot4_2021-09-30,4,4,2021,09,30,2021-09-30,Harvest,NA,1.2926,1.3541,18.1849,19.5492,1:5 dilution calculated 
Plot5_2021-09-30,5,5,2021,09,30,2021-09-30,Harvest,NA,1.3313,0.5027,20.4215,22.4760,1:5 dilution calculated 
Plot9_2021-09-30,9,9,2021,09,30,2021-09-30,Harvest,NA,1.6124,0.6895,20.1697,21.7695,1:5 dilution calculated 
Plot11_2021-09-30,11,11,2021,09,30,2021-09-30,Harvest,NA,1.2153,0.6821,17.0151,18.2298,1:5 dilution calculated 
Plot12_2021-09-30,12,12,2021,09,30,2021-09-30,Harvest,NA,1.0209,0.7391,18.9853,20.8649,1:5 dilution calculated 
Plot13_2021-09-30,13,13,2021,09,30,2021-09-30,Harvest,NA,1.0257,0.5619,19.3672,21.0128,1:5 dilution calculated 
Plot14_2021-09-30,14,14,2021,09,30,2021-09-30,Harvest,NA,1.1448,0.4528,18.8150,19.6469,1:5 dilution calculated 
Plot15_2021-09-30,15,15,2021,09,30,2021-09-30,Harvest,NA,0.8480,0.5542,14.4980,15.7278,1:5 dilution calculated 
Plot17_2021-09-30,17,17,2021,09,30,2021-09-30,Harvest,NA,1.1064,0.7280,22.0413,24.3254,1:5 dilution calculated 
Plot18_2021-09-30,18,18,2021,09,30,2021-09-30,Harvest,NA,1.2273,0.6036,17.7640,18.8821,1:5 dilution calculated 
Plot19_2021-09-30,19,19,2021,09,30,2021-09-30,Harvest,NA,1.2208,0.8425,15.5528,16.3283,1:5 dilution calculated 
Plot20_2021-09-30,20,20,2021,09,30,2021-09-30,Harvest,NA,0.9594,0.6908,18.9609,20.1917,1:5 dilution calculated 
Plot4_2022-08-10,4,4,2022,08,10,2022-08-10,Veraison,16,0.917,0.445,15.702,15.597,
Plot5_2022-08-10,5,5,2022,08,10,2022-08-10,Veraison,14,1.225,0.357,13.924,13.928,
Plot9_2022-08-10,9,9,2022,08,10,2022-08-10,Veraison,13,1.397,0.617,12.491,11.961,
Plot11_2022-08-10,11,11,2022,08,10,2022-08-10,Veraison,14,1.247,0.470,13.583,13.317,
Plot12_2022-08-10,12,12,2022,08,10,2022-08-10,Veraison,10.5,0.927,0.000,19.509,21.097,Malate below detection limit
Plot13_2022-08-10,13,13,2022,08,10,2022-08-10,Veraison,11,0.973,0.814,10.721,10.115,
Plot14_2022-08-10,14,14,2022,08,10,2022-08-10,Veraison,17,1.284,0.000,16.636,16.384,Malate below detection limit
Plot15_2022-08-10,15,15,2022,08,10,2022-08-10,Veraison,13,1.448,0.660,11.579,10.896,
Plot17_2022-08-10,17,17,2022,08,10,2022-08-10,Veraison,16,1.275,0.000,15.294,15.477,Malate below detection limit
Plot18_2022-08-10,18,18,2022,08,10,2022-08-10,Veraison,NA,NA,NA,NA,NA,
Plot19_2022-08-10,19,19,2022,08,10,2022-08-10,Veraison,13.5,0.921,0.564,12.866,12.632,
Plot20_2022-08-10,20,20,2022,08,10,2022-08-10,Veraison,14.5,1.505,0.519,13.643,13.288,
Plot4_2022-09-09,4,4,2022,09,09,2022-09-09,Harvest,19.5,0.955,0.083,18.8826,20.54,
Plot5_2022-09-09,5,5,2022,09,09,2022-09-09,Harvest,19.8,0.8874,0.0405,19.3776,20.4846,
Plot9_2022-09-09,9,9,2022,09,09,2022-09-09,Harvest,19.2,0.9222,0.0694,17.287,18.853,
Plot11_2022-09-09,11,11,2022,09,09,2022-09-09,Harvest,NA,NA,NA,NA,NA,
Plot12_2022-09-09,12,12,2022,09,09,2022-09-09,Harvest,17.1,1.1046,0.2186,13.6358,14.96,
Plot13_2022-09-09,13,13,2022,09,09,2022-09-09,Harvest,17.6,0.9306,0.0724,15.884,17.5112,
Plot14_2022-09-09,14,14,2022,09,09,2022-09-09,Harvest,18.8,0.981,0.0782,17.6878,18.9796,
Plot15_2022-09-09,15,15,2022,09,09,2022-09-09,Harvest,17.3,1.1588,0.0972,14.325,15.952,
Plot17_2022-09-09,17,17,2022,09,09,2022-09-09,Harvest,20.2,0.8458,0.0774,18.7906,20.599,
Plot18_2022-09-09,18,18,2022,09,09,2022-09-09,Harvest,NA,NA,NA,NA,NA,
Plot19_2022-09-09,19,19,2022,09,09,2022-09-09,Harvest,17.7,0.8918,0.1796,16.4586,17.784,
Plot20_2022-09-09,20,20,2022,09,09,2022-09-09,Harvest,19.3,1.102,0.092,17.9328,19.7216,
Plot_4_2023-08-24,4,4,2023,08,24,2023-08-24,Veraison,14,1.746,0.078,16.064,15.769,
Plot_5_2023-08-24,5,5,2023,08,24,2023-08-24,Veraison,16.4,1.477,0.086,21.178,21.285,
Plot_9_2023-08-24,9,9,2023,08,24,2023-08-24,Veraison,11,1.454,0.630,13.580,13.096,
Plot_12_2023-08-24,12,12,2023,08,24,2023-08-24,Veraison,11,1.47,0.705,14.636,13.577,
Plot_13_2023-08-24,13,13,2023,08,24,2023-08-24,Veraison,13,1.48,0.094,16.843,16.272,
