SAMPLE_NAME,Collected by,COLLECTION_DATE,DESCRIPTION,BOKULICH.ENVIRONMENTAL_SAMPLE.GEO_LOC_NAME,BOKULICH.ENVIRONMENTAL_SAMPLE.ISOLATION_SOURCE,LOCATION_ID,BOKULICH.ENVIRONMENTAL_SAMPLE.LATITUDE,BOKULICH.ENVIRONMENTAL_SAMPLE.LONGITUDE,parents,,COUNT,68,,not used,numbers,ID on extraction plate
SB_must_RT_immediately_1,Lena Flörl,2021-10-08 00:00:00 +0200,,Weingut_Diederik,must,Weingut_Diederik,8.594416,47.310444,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY190,,,,,ID1.1,1,1001
SB_must_RT_immediately_2,Lena Flörl,2021-10-08 00:00:00 +0200,,Weingut_Diederik,must,Weingut_Diederik,8.594491,47.310141,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY190,,,,,ID1.2,2,1002
SB_must_RT_immediately_3,Lena Flörl,2021-10-08 00:00:00 +0200,,Weingut_Diederik,must,Weingut_Diederik,8.594267,47.310316,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY190,,,,,ID1.3,3,1003
SB_must_RT_24h_1,Lena Flörl,2021-10-08 00:00:00 +0200,,Weingut_Diederik,must,Weingut_Diederik,8.594416,47.310444,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY190,,,,,ID1.4,4,1004
SB_must_RT_24h_2,Lena Flörl,2021-10-08 00:00:00 +0200,,Weingut_Diederik,must,Weingut_Diederik,8.594491,47.310141,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY190,,,,,ID1.5,5,1005
SB_must_RT_24h_3,Lena Flörl,2021-10-08 00:00:00 +0200,,Weingut_Diederik,must,Weingut_Diederik,8.594267,47.310316,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY190,,,,,ID1.6,6,1006
SB_must_4deg_24h_1,Lena Flörl,2021-10-08 00:00:00 +0200,,Weingut_Diederik,must,Weingut_Diederik,8.594416,47.310444,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY190,,,,,ID1.7,7,1007
SB_must_4deg_24h_2,Lena Flörl,2021-10-08 00:00:00 +0200,,Weingut_Diederik,must,Weingut_Diederik,8.594491,47.310141,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY190,,,,,ID1.8,8,1008
SB_must_4deg_24h_3,Lena Flörl,2021-10-08 00:00:00 +0200,,Weingut_Diederik,must,Weingut_Diederik,8.594267,47.310316,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY190,,,,,ID1.9,9,1009
SB_must_4deg_72h_1,Lena Flörl,2021-10-08 00:00:00 +0200,,Weingut_Diederik,must,Weingut_Diederik,8.594416,47.310444,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY190,,,,,ID1.10,10,1010
