Plot,Gravel_Percentage,Gravel_Estimate,Organic_Matter,C_total,Clay_Percentage,Silt_Percentage,Sand_Percentage,N_total,CN_ratio,,,,,,,,,,,,,,,
Plot_4,>30%,high,1.9,3.2775,32.9,41.1,26,0.13,8.3,,,,,,,,,,,,,,,
Plot_12,>30%,high,3.1,5.3475,34,41.3,24.7,0.18,10,,,,,,,,,,,,,,,
Plot_9,>30%,high,1.7,2.9325,22.9,42.4,34.7,0.11,9.5,,,,,,,,,,,,,,,
Plot_15,>30%,high,2.6,4.485,25.6,30.6,43.8,0.16,9.2,,,,,,,,,,,,,,,
Plot_5,>30%,high,1.6,2.76,29.5,38.5,32.1,0.11,8.7,,,,,,,,,,,,,,,
Plot_17,<10%,high,1.6,2.76,34.7,48.7,16.7,0.12,7.9,,,,,,,,,,,,,,,
Plot_13,>30%,high,1.7,2.9325,37.1,38.8,24.2,0.12,8.5,,,,,,,,,,,,,,,
Plot_19,>30%,high,3.7,6.3825,22.3,41.5,36.2,0.20,10.4,,,,,,,,,,,,,,,
Plot_14,>30%,high,3,5.175,23.4,43.6,33,0.18,9.9,,,,,,,,,,,,,,,
Plot_20,10-30%,medium,1.12,1.932,21.9,55.9,22.3,0.12,9,,,,,,,,,,,,,,,
